citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,yogurt,cream cheese ,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,condensed milk,long life bakery product,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,yogurt,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,white bread,bottled water,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,whole milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,cream cheese ,processed cheese,detergent,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,soda,fruit/vegetable juice,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,beverages,bottled water,specialty bar,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,rolls/buns,spices,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,beverages,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
pork,berries,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,zwieback,newspapers,,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,canned beer,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,yogurt,cream cheese ,spread cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,butter,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,grapes,other vegetables,whole milk,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
turkey,tropical fruit,other vegetables,curd,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,processed cheese,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,brown bread,canned beer,,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,oil,bottled water,chewing gum,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,beef,whipped/sour cream,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,sugar,,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen vegetables,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,whole milk,,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,tropical fruit,rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,curd,,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,berries,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red/blush wine,,,,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,margarine,specialty fat,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,whole milk,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,rolls/buns,sugar,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,curd,butter milk,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
flour,salt,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,frozen vegetables,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,onions,hard cheese,frozen vegetables,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,,,,
herbs,condensed milk,frozen vegetables,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,onions,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter milk,yogurt,cream cheese ,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,
pork,hamburger meat,citrus fruit,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,photo/film,,,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,sliced cheese,rolls/buns,brown bread,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,,,,,,,,,,
chicken,hamburger meat,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,misc. beverages,,,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,grapes,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,bottled water,,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,berries,root vegetables,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,whipped/sour cream,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,,,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,root vegetables,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,bottled water,,,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,frozen vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,yogurt,,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,whole milk,frozen vegetables,rolls/buns,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese ,soda,,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
fish,other vegetables,pastry,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
frankfurter,sausage,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,dessert,,,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,beverages,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,oil,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter,cream cheese ,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,,,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,pip fruit,other vegetables,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,yogurt,honey,soda,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,citrus fruit,onions,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasta,popcorn,,,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,meat spreads,cake bar,white bread,dishes,candles,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,citrus fruit,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,other vegetables,curd,dessert,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
popcorn,,,,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,sugar,bottled water,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,herbs,flour,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
